routename,routeid,start,end,length,ave_speed(m/s),ave_grad,gap_time(s),track,path
R215,EC5489C(M),EC5489,EC5493,2309.946726,9.099203423,-0.157629671,292.7415286,"['TECW', 'TEDA', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']","['P825', 'P1048', 'P390', 'P391', 'P393', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
R184,EC5490A(S),EC5490,EC5488,495.9069092,4.470400004,0.564255912,110.9312162,"['TEDM', 'TEDK', 'TEDJ', 'TEDH']","['P435', 'P1065', 'P1748', 'P1541', 'P1538', 'P1064', 'P1536', 'P828']"
R185,EC5491A(S),EC5491,EC5495,189.270901,4.470400004,0,42.3386947,"['TEDK', 'TEDM', 'TEDN']","['P1748', 'P1065', 'P435', 'P1067']"
R186,EC5491B(S),EC5491,EC5501,505.7947922,4.470400004,0,113.1430726,"['TEDK', 'TEDM', 'TGAK', 'TGAJ']","['P1748', 'P1065', 'P436', 'P437', 'P438', 'P1068', 'P439', 'P440', 'P442', 'P441', 'P466', 'P457', 'P453', 'P454', 'P455']"
R187,EC5491C(S),EC5491,EC5502,503.2939235,4.470400004,0,112.5836442,"['TEDK', 'TEDM', 'TGAK', 'TGAJ']","['P1748', 'P1065', 'P436', 'P437', 'P438', 'P1068', 'P439', 'P440', 'P442', 'P441', 'P466', 'P457', 'P452']"
R188,EC5491D(S),EC5491,EC5503,484.1438666,4.470400004,0,108.2998985,"['TEDK', 'TEDM', 'TGAK', 'TGAJ']","['P1748', 'P1065', 'P436', 'P437', 'P438', 'P1068', 'P439', 'P440', 'P442', 'P441', 'P466', 'P458', 'P459', 'P460']"
R189,EC5491E(S),EC5491,EC5504,510.3703384,4.470400004,0,114.1665931,"['TEDK', 'TEDM', 'TGAK', 'TGAJ']","['P1748', 'P1065', 'P436', 'P437', 'P438', 'P1068', 'P439', 'P440', 'P442', 'P441', 'P466', 'P458', 'P462', 'P463', 'P464']"
R190,EC5491F(S),EC5491,EC5497,447.2930872,4.470400004,0,100.0566139,"['TEDK', 'TEDM', 'TGAK', 'TGAJ']","['P1748', 'P1065', 'P436', 'P437', 'P438', 'P1068', 'P439', 'P440', 'P442', 'P441', 'P467', 'P468', 'P469', 'P1759']"
R191,EC5493A(S),EC5493,EC5501,299.5278588,4.470400004,0,67.00247371,"['TGAL', 'TGAK', 'TGAJ']","['P432', 'P1066', 'P433', 'P434', 'P441', 'P466', 'P457', 'P453', 'P454', 'P455']"
R192,EC5493B(S),EC5493,EC5502,297.02699,4.470400004,0,66.4430453,"['TGAL', 'TGAK', 'TGAJ']","['P432', 'P1066', 'P433', 'P434', 'P441', 'P466', 'P457', 'P452']"
R194,EC5493C(S),EC5493,EC5503,277.8769331,4.470400004,0,62.15929959,"['TGAL', 'TGAK', 'TGAJ']","['P432', 'P1066', 'P433', 'P434', 'P441', 'P466', 'P458', 'P459', 'P460']"
